UMAP1,UMAP2
8.187801,0.035491493
9.26945,4.2000637
9.824026,4.6641774
4.956361,2.2342656
11.495674,3.3740244
7.7319865,2.027645
8.273072,7.7633357
5.5554137,2.804991
12.183978,3.9956295
6.758905,5.674138
7.9168077,6.678202
6.7912455,6.348445
8.262883,6.825519
8.783077,8.032337
5.129962,2.9084802
8.4000225,5.7819376
8.183457,2.7199254
6.5928183,6.168463
8.44394,2.128791
9.027044,5.9160523
12.753454,5.1025968
6.5267577,3.3241053
10.834331,4.0933886
10.730874,4.8577957
9.834968,7.233306
9.275889,3.4812102
11.33976,3.4597473
9.358552,4.1256223
8.891126,1.5766863
6.9704003,5.5451107
7.6685038,7.3588753
5.6634326,2.7590487
7.1666393,3.5865417
6.5903788,4.544919
9.040477,6.925741
12.760165,3.3352695
12.130318,3.159773
10.527165,2.1933358
6.9817853,2.0891118
6.3242383,1.2864956
7.1705165,2.0016088
6.5938497,2.0905645
12.533663,4.435588
9.194966,6.6692905
8.445814,1.746797
10.491754,2.0906224
5.207557,2.418462
5.4882483,3.5198162
11.08919,2.2518988
10.905436,5.26817
8.845657,2.6436565
8.491104,4.122792
5.5431952,2.465064
6.760959,0.63539034
7.9131603,0.88191915
6.4333925,6.57259
7.9520946,1.9188619
11.661588,2.936643
8.702975,5.6229453
8.413859,7.4835424
8.146993,6.565967
11.289479,1.9394782
11.999281,2.5594954
8.888896,6.8104186
8.551769,2.0743988
7.530402,3.7267466
9.813769,3.8337502
8.357518,1.0426846
9.109548,6.529891
11.796403,3.5158286
7.153073,1.3054541
7.614901,5.559307
12.417746,3.7728298
10.269519,2.3103743
7.5533977,2.8242543
10.692687,3.6839628
8.272819,1.3450507
8.506756,5.993762
6.044678,3.624214
8.564383,0.44571203
7.940483,2.4071434
4.3208737,2.6739893
8.1516,6.9370937
12.574564,4.5349755
6.4478116,2.3558762
9.514767,1.8552445
8.118686,6.432404
5.3778267,2.2359385
9.102902,6.2760596
8.699945,7.413442
8.156193,0.90965253
7.164365,3.8720047
7.9718957,2.6483252
8.230447,7.3109
7.9763765,1.2756617
11.2773905,4.3420224
9.481148,3.3452017
9.551976,7.116514
7.7227526,5.7551756
8.021301,7.297381
11.779274,4.340611
8.129919,7.1748686
9.817499,6.6038895
9.395811,0.9105854
9.904344,4.5390134
10.656894,1.7432946
8.980159,7.233596
10.804094,4.546919
7.6780586,0.8382916
8.293226,2.6544988
8.859343,7.2194705
11.035999,3.0790584
7.9649014,7.5982027
8.117614,6.7008824
11.755314,2.3581455
9.392641,3.1726491
6.626287,7.207299
7.983961,0.4219993
9.120664,6.485105
7.8307705,1.4807246
12.149043,3.584526
12.60962,2.9467463
7.646599,4.951958
9.836665,6.3004575
8.534347,2.3732948
8.874884,6.8416743
5.8471227,2.0032244
5.234996,2.4114206
